key,en,es,ru,ko,ja,it,de,fr,nl,zh,ar,ur
passwordDoNotMatch,Passwords do not match,Las contraseñas no coinciden,Пароли не совпадают,비밀번호가 일치하지 않습니다,パスワードが一致していません,le passwords non corrispondono,Passwörter stimmen nicht überein,Les mots de passe ne correspondent pas,Wachtwoorden komen niet overeen,密码不匹配,كلمة المرور غير مطابقة,پاس ورڈ میچ نہیں کرتے
firstNameRequired,First Name is required,Se requiere el primer nombre,Имя требуется,이름이 필요합니다,名が必要です,È richiesto il nome,Vorname ist erforderlich,Le prénom est requis,Voornaam is verplicht,需要名字,الإسم الأول مطلوب,پہلا نام ضروری ہے
whatsNew,Whats New,Qué hay de nuevo,Что нового,새로운 것,新着情報,Cosa c'è di nuovo,Was gibt's Neues,Quoi de neuf,Wat is er nieuw,什么是新的,ما هو الجديد,نیا کیا ہے
trendingNow,Trending Now,Siendo tendencia ahora,Актуальные,지금 추세,今流行っている,In voga,Актуальные,À la mode maintenant,Trending nu,现在趋势,تتجه الآن,اس وقت مقبول ہے
othersViewThis,Others viewed these,Otros vieron estos,Другие смотрели на это,다른 사람들은 이것을 보았습니다,他の人はこれらを見ました,Altri li hanno visti,Andere sahen diese an,D'autres ont vu cela,Anderen hebben deze bekeken,其他人看了这些,رأى آخرون هذه,دوسروں نے ان کو دیکھا
blueShirt,Blue dotted casual shirt..,Camisa informal de puntos azules ..,Синяя пунктуальная рубашка.,파란색 점수가있는 캐주얼 셔츠 ..,青い点線のカジュアルシャツ..,Camicia casual punteggiata blu ..,Blau gepunktete Casual Shirt ..,Chemise décontractée en pointillés bleus ..,Blauw gestippeld casual shirt ..,蓝色虚线休闲衬衫..,القميص الأزرق المنقط غير الرسمي ..,نیلے رنگ کے بندھے ہوئے آرام دہ اور پرسکون قمیض ..
viewAll,View all,Ver todo,Посмотреть все,모두보기,すべてを表示します,Mostra tutto,Alle ansehen,Voir tout,Bekijk alles,查看全部,عرض الكل,سب دیکھیں
mostPopular,Most Popular,Más popular,Самый популярный,가장 인기있는,最も人気のある,Più popolare,Am beliebtesten,Le plus populaire,Meest populair,最受欢迎,الأكثر شعبية,سب سے زیادہ مقبول
officeAddrLine2,"20-22 WENLOCK ROAD, LONDON, N1 7GU","20-22 Wenlock Road, Londres, N1 7GU","20-22 Wenlock Road, Лондон, N1 7GU","20-22 Wenlock Road, 런던, N1 7GU",20-22 Wenlock Road、ロンドン、N1 7GU,"20-22 Wenlock Road, Londra, N1 7gu","20-22 Wenlock Road, London, N1 7gu","20-22 Wenlock Road, Londres, N1 7gu","20-22 Wenlock Road, Londen, N1 7gu",伦敦Wenlock Road 20-22，N1 7GU,20-22 Wenlock Road ، لندن ، N1 7GU,20-22 وینلاک روڈ ، لندن ، N1 7GU
officeAddrLine1,"SOLO LUXURY, O LABELS LTD,","Solo lujo, o Labels Ltd,","Solo Luxury, o Labels Ltd,","솔로 럭셔리, O Labels Ltd,",Solo Luxury、O Labels Ltd、,"Solo Luxury, O Labels Ltd,","Solo -Luxus, o Labels Ltd,","Solo Luxury, O Labels Ltd,","Solo Luxury, O Labels Ltd,",Solo Luxury，O Labels Ltd，,Solo Luxury ، O Labels Ltd ،,سولو لگژری ، اے لیبل لمیٹڈ ،
headOffice,Head Office,Oficina central,Головной офис,본점,本社,Direzione,Hauptbüro,Siège social,Hoofdkantoor,总公司,مدير المكتب رئيس المكتب,ہیڈ آفس
workingOnIssue,We are working on this issue. Please try again later,"Estamos trabajando en este tema. Por favor, inténtelo de nuevo más tarde","Мы работаем над этим вопросом. Пожалуйста, повторите попытку позже",우리는이 문제를 해결하고 있습니다. 나중에 다시 시도 해주십시오,この問題に取り組んでいます。後でもう一度やり直してください,Stiamo lavorando a questo problema. Per favore riprova più tardi,Wir arbeiten an diesem Problem. Bitte versuchen Sie es später erneut,Nous travaillons sur cette question. Veuillez réessayer plus tard,We werken aan dit probleem. Probeer het later opnieuw,我们正在研究这个问题。请稍后再试,ونحن نعمل على هذه المسألة. الرجاء معاودة المحاولة في وقت لاحق,ہم اس مسئلے پر کام کر رہے ہیں۔ براہ کرم کچھ دیر بعد کوشش کریں
noInternet,No Internet Connection Found\nCheck Your Connection,No se encontró conexión a Internet \ nCheck su conexión,Подключение к Интернету не найдено \ ncheck ваше соединение,인터넷 연결을 찾지 못했습니다. 연결을 확인하십시오,インターネット接続が見つかりませんでした\接続はありません,Nessuna connessione Internet trovata \ ncheck la tua connessione,Keine Internetverbindung gefunden \ nCheck Ihre Verbindung,Aucune connexion Internet trouvée \ ncheck votre connexion,Geen internetverbinding gevonden \ ncheck uw verbinding,找不到互联网连接\ nCheck您的连接,لم يتم العثور على اتصال إنترنت \ ncheck اتصالك,کوئی انٹرنیٹ کنیکشن نہیں ملا \ n آپ کے کنکشن کو چیک کریں
size32,size:  32,Tamaño: 32,Размер: 32,크기 : 32,サイズ：32,Dimensioni: 32,Größe: 32,Taille: 32,Grootte: 32,尺寸：32,الحجم: 32,سائز: 32
colorBlack,Color:  Black,De color negro,Черный цвет,검정색,色：黒,Colore nero,Farbe schwarz,La couleur noire,De kleur zwart,颜色：黑色,لون أسود,کالا رنگ
enterUrlText,Enter URL,Introducir URL,Введите URL,URL을 입력하십시오,URLを入力,Inserisci l'URL,URL eingeben,Entrer l'URL,URL invoeren,输入网址,إدخال عنوان الموقع,URL درج کریں
enterPriceText,Enter Price,Ingresar precio,Введите цену,가격을 입력하십시오,価格を入力します,Inserire il prezzo,Preis eingeben,Saisir le prix,De prijs binnenkomen,输入价格,أدخل السعر,قیمت درج کریں
faqTitle,FREQUENTLY ASKED QUESTIONS,PREGUNTAS FRECUENTES,ЧАСТО ЗАДАВАЕМЫЕ ВОПРОСЫ,자주 묻는 질문,よくある質問,DOMANDE FREQUENTI,HÄUFIG GESTELLTE FRAGEN,QUESTIONS FRÉQUEMMENT POSÉES,VEEL GESTELDE VRAGEN,经常问的问题,أسئلة مكررة,اکثر پوچھے گئے سوالات
app_id,brands,marcas,бренды,브랜드,ブランド,Marche,Marken,marques,merken,品牌,العلامات التجارية,برانڈز
language,English,inglés,Английский,영어,英語,inglese,Englisch,Anglais,Engels,英语,إنجليزي,انگریزی
highlightText,Highlight,Destacar,Выделять,가장 밝은 부분,ハイライト,Evidenziare,Markieren,Souligner,Markeren,强调,تسليط الضوء,نمایاں کریں
writeAtText,Write At,Escribir en,Написать в,글을 쓰십시오,書く,Scrivi a,Schreibe an,Écrire,Schrijven bij,写在,اكتب في,پر لکھیں
withText,With,Con,С,와 함께,と,Insieme a,Mit,Avec,Met,和,مع,کے ساتھ
meText,Me,Yo,Мне,나,自分,Me,Mir,Moi,Mij,我,أنا,میں
appNameText,Brands and Labels,Marcas y etiquetas,Бренды и этикетки,브랜드 및 레이블,ブランドとラベル,Marchi ed etichette,Marken und Etiketten,Marques et étiquettes,Merken en labels,品牌和标签,العلامات التجارية والعلامات,برانڈز اور لیبل
addressDetails,Address Details,detalles de dirección,подробности адреса,주소 세부 정보,住所の詳細,dettagli dell'indirizzo,Adressen Details,Détails de l'adresse,Adresgegevens,详细地址,تفاصيل العنوان,ایڈریس کی تفصیلات
enterZipOrProvince,Enter Zip/Province,Ingrese zip/provincia,Введите Zip/Province,Zip/Province를 입력하십시오,zip/州を入力してください,Inserisci Zip/Province,Betreten Sie ZIP/Provinz,Entrez Zip / Province,Betreed zip/provincie,输入Zip/省,أدخل ZIP/المقاطعة,زپ/صوبہ درج کریں
zipOrProvinceText,Zip/Province,Zip/Provincia,Zip/Province,지퍼/지방,zip/州,Zip/Provincia,ZIP/Provinz,Zip / province,Zip/provincie,拉链/省,الرمز البريدي/المقاطعة,زپ/صوبہ
cartDetails,Cart Details,Detalles del carrito,Детали тележки,카트 세부 사항,カートの詳細,Dettagli del carrello,Wagendetails,Détails du panier,Details,购物车细节,تفاصيل العربة,کارٹ کی تفصیلات
confirmationEmailRequired,Confirmation Email is Required,Se requiere un correo electrónico de confirmación,Confirmation Email is Required,확인 이메일이 필요합니다,確認メールが必要です,È richiesta la posta elettronica di conferma,Confirmation Email is Required,Un e-mail de confirmation est requis,Bevestigings -e -mail is vereist,需要确认电子邮件,البريد الإلكتروني التأكيد مطلوب,تصدیق ای میل کی ضرورت ہے
passwordsYouHaveEnteredDoNotMatch,Passwords you have entered do not match,Passwords you have entered do not match,Passwords you have entered do not match,Passwords you have entered do not match,入力したパスワードは一致しません,Le password che hai inserito non corrispondono,Passwords you have entered do not match,Les mots de passe que vous avez entrés ne correspondent pas,"Wachtwoorden die u hebt ingevoerd, komen niet overeen",入力しパスワードは一致んん,le密码che hai inserito non Corrispondono,پاس ورڈز جو آپ نے داخل کیے ہیں وہ مماثل نہیں ہیں
registerWithGoogle,Register with Google,Regístrese en Google,Зарегистрируйтесь в Google,Google에 등록하십시오,Googleに登録してください,Registrati con Google,Registrieren Sie sich bei Google,Зарегprises,Registreer je bij Google,Googleに登录しくださいください,registrati con Google,گوگل کے ساتھ رجسٹر ہوں
orderReference,Order reference,Pedir Referencia,Код заказа,주문 참조,参照を注文します,Riferenza dell'ordine,Bestellnummer,Код заказа,Bestelreferentie,参照を注文ます,Riferenza dell'ordine,حکم کا حوالہ
